1 ; 166721
2 ; 467603
3 ; 74524
4 ; 624644
5 ; 329199
6 ; 226681
7 ; 378765
8 ; 86810
9 ; 904854
10 ; 757728
11 ; 46433
12 ; 510771
13 ; 417314
14 ; 531733
15 ; 702379
16 ; 748234
17 ; 717016
18 ; 935876
19 ; 23299
20 ; 904683
21 ; 889766
22 ; 518524
23 ; 934384
24 ; 923241
25 ; 577429
26 ; 529145
27 ; 827463
28 ; 885326
29 ; 304458
30 ; 471901
31 ; 144373
32 ; 496866
33 ; 904046
34 ; 891656
35 ; 169322
36 ; 728789
37 ; 637629
38 ; 111159
39 ; 373981
40 ; 80586
41 ; 101508
42 ; 138151
43 ; 159058
44 ; 435648
45 ; 514320
46 ; 461137
47 ; 336112
48 ; 977163
49 ; 479123
50 ; 952587
51 ; 193349
52 ; 133308
53 ; 813845
54 ; 598307
55 ; 489151
56 ; 20485
57 ; 543831
58 ; 271727
59 ; 217091
60 ; 353354
61 ; 650261
62 ; 271871
63 ; 486185
64 ; 290414
65 ; 668170
66 ; 843737
67 ; 360119
68 ; 183884
69 ; 727833
70 ; 399857
71 ; 999223
72 ; 702625
73 ; 133250
74 ; 661776
75 ; 948920
76 ; 296863
77 ; 71505
78 ; 440206
79 ; 918413
80 ; 473454
81 ; 546718
82 ; 272595
83 ; 893357
84 ; 850457
85 ; 132369
86 ; 636873
87 ; 926262
88 ; 459739
89 ; 635726
90 ; 960124
91 ; 448385
92 ; 266387
93 ; 268133
94 ; 140916
95 ; 446853
96 ; 373664
97 ; 414906
98 ; 804071
99 ; 350772
100 ; 882264
101 ; 598590
102 ; 6591
103 ; 970067
104 ; 872606
105 ; 729330
106 ; 613516
107 ; 330813
108 ; 478937
109 ; 236087
110 ; 62447
111 ; 750796
112 ; 523973
113 ; 172484
114 ; 735499
115 ; 999056
116 ; 682838
117 ; 890993
118 ; 657418
119 ; 883170
120 ; 645054
121 ; 379239
122 ; 738621
123 ; 108014
124 ; 243322
125 ; 852167
126 ; 281917
127 ; 749767
128 ; 17856
129 ; 693813
130 ; 971633
131 ; 188888
132 ; 185011
133 ; 342431
134 ; 63931
135 ; 845839
136 ; 478956
137 ; 212744
138 ; 997031
139 ; 563283
140 ; 835144
141 ; 249034
142 ; 140115
143 ; 978525
144 ; 384335
145 ; 202859
146 ; 899650
147 ; 729929
148 ; 725911
149 ; 229121
150 ; 901883
151 ; 841075
152 ; 949232
153 ; 894242
154 ; 470257
155 ; 126399
156 ; 371805
157 ; 190205
158 ; 116504
159 ; 962065
160 ; 462980
161 ; 648201
162 ; 264148
163 ; 265826
164 ; 921961
165 ; 145635
166 ; 923195
167 ; 29615
168 ; 378852
169 ; 500241
170 ; 534735
171 ; 248624
172 ; 687503
173 ; 445061
174 ; 704216
175 ; 590613
176 ; 278906
177 ; 78027
178 ; 42146
179 ; 649208
180 ; 543884
181 ; 379907
182 ; 830962
183 ; 124929
184 ; 713828
185 ; 894357
186 ; 736819
187 ; 777708
188 ; 208233
189 ; 163838
190 ; 285058
191 ; 494635
192 ; 917776
193 ; 15132
194 ; 318089
195 ; 316692
196 ; 391697
197 ; 288230
198 ; 154451
199 ; 768222
200 ; 398222
